City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chapais,CA,2021-10-08 01:30:11,49.7834,-74.8492,56.98,94,24,4.23
68,Fulton,US,2021-10-08 01:30:12,33.7668,-84.4499,72.39,91,75,4.61
69,Asau,RO,2021-10-08 01:30:13,46.4333,26.4,40.75,70,100,3.94
70,Hobart,AU,2021-10-08 01:26:28,-42.8794,147.3294,67.01,51,40,4.0
71,Chenzhou,CN,2021-10-08 01:30:13,25.8,113.0333,64.76,83,100,6.15
72,Mount Gambier,AU,2021-10-08 01:30:14,-37.8333,140.7667,58.91,58,40,17.27
73,Paamiut,GL,2021-10-08 01:30:14,61.994,-49.6678,35.62,64,0,8.1
74,Vaini,TO,2021-10-08 01:30:15,-21.2,-175.2,82.56,78,20,4.61
75,Makushino,RU,2021-10-08 01:30:15,55.2103,67.2442,35.92,78,9,8.21
76,Isiro,CD,2021-10-08 01:30:16,2.7739,27.616,65.89,98,98,1.43
77,Providencia,MX,2021-10-08 01:30:16,28.7167,-111.5833,93.25,29,12,7.31
78,Mocuba,MZ,2021-10-08 01:30:17,-16.8392,36.9856,67.95,73,60,3.15
79,Yulara,AU,2021-10-08 01:30:17,-25.2406,130.9889,80.44,34,0,12.66
80,Busselton,AU,2021-10-08 01:30:18,-33.65,115.3333,58.08,66,100,9.28
81,Chuy,UY,2021-10-08 01:30:18,-33.6971,-53.4616,47.3,79,6,6.11
82,Saint-Louis,SN,2021-10-08 01:30:19,16.3333,-15.0,87.21,47,15,6.31
83,Santa Cruz Naranjo,GT,2021-10-08 01:30:19,14.3881,-90.3697,71.65,97,100,3.83
84,Nikolskoye,RU,2021-10-08 01:30:20,59.7035,30.7861,51.4,67,100,7.05
85,Knysna,ZA,2021-10-08 01:30:20,-34.0363,23.0471,59.38,72,0,3.44
86,Bethel,US,2021-10-08 01:30:20,41.3712,-73.414,63.91,90,1,3.44
87,Oranjemund,NA,2021-10-08 01:30:21,-28.55,16.4333,52.88,95,42,0.45
88,Bathsheba,BB,2021-10-08 01:30:21,13.2167,-59.5167,83.01,83,20,24.16
89,Port Hedland,AU,2021-10-08 01:30:22,-20.3167,118.5667,78.85,69,0,6.91
90,Hohhot,CN,2021-10-08 01:30:22,40.8106,111.6522,52.09,66,75,4.47
91,Bambous Virieux,MU,2021-10-08 01:30:23,-20.3428,57.7575,68.25,88,75,3.44
92,Mayo,US,2021-10-08 01:30:23,38.8876,-76.5119,70.86,91,1,0.0
93,Palmer,US,2021-10-08 01:30:24,42.1584,-72.3287,60.89,84,1,0.0
94,Ostrovnoy,RU,2021-10-08 01:30:24,68.0531,39.5131,38.8,86,100,25.17
95,Mbini,GQ,2021-10-08 01:30:25,1.574,9.6134,75.96,91,100,2.93
96,Kargasok,RU,2021-10-08 01:30:25,59.0556,80.8572,39.51,92,100,10.13
97,Sorland,NO,2021-10-08 01:30:26,67.667,12.6934,43.5,69,100,23.64
98,Lompoc,US,2021-10-08 01:28:31,34.6391,-120.4579,65.57,82,90,6.91
99,Port Lincoln,AU,2021-10-08 01:30:26,-34.7333,135.8667,65.89,37,100,13.76
100,Tiksi,RU,2021-10-08 01:30:27,71.6872,128.8694,26.35,85,100,18.77
101,Ribeira Grande,PT,2021-10-08 01:30:27,38.5167,-28.7,69.66,71,12,7.02
102,Omboue,GA,2021-10-08 01:30:28,-1.5746,9.2618,76.28,86,100,5.95
103,Vila Velha,BR,2021-10-08 01:30:28,-20.3297,-40.2925,75.15,78,75,13.8
104,Udomlya,RU,2021-10-08 01:30:29,57.8794,34.9925,35.17,80,0,5.06
105,Ortigueira,BR,2021-10-08 01:30:29,-24.2083,-50.9494,62.13,98,55,5.08
106,Upernavik,GL,2021-10-08 01:30:30,72.7868,-56.1549,25.0,46,12,4.18
107,Codrington,AU,2021-10-08 01:30:30,-38.2667,141.9667,60.66,57,100,17.05
108,Zhangjiakou,CN,2021-10-08 01:30:31,40.81,114.8794,53.85,73,2,3.89
109,Xining,CN,2021-10-08 01:30:31,36.6167,101.7667,52.21,73,91,3.2
110,Huambo,AO,2021-10-08 01:30:32,-12.7761,15.7392,62.35,78,29,1.14
111,Bubaque,GW,2021-10-08 01:30:33,11.2833,-15.8333,83.82,76,100,3.94
112,Aksu,CN,2021-10-08 01:30:33,41.1231,80.2644,50.65,31,0,4.61
113,Mahon,ES,2021-10-08 01:30:33,39.8885,4.2658,63.16,67,20,11.5
114,Avera,US,2021-10-08 01:30:34,33.194,-82.5271,72.91,93,5,4.72
115,Dabat,ET,2021-10-08 01:30:34,12.9842,37.765,52.79,77,62,2.55
116,Tautira,PF,2021-10-08 01:30:35,-17.7333,-149.15,86.02,71,17,1.07
117,Bridgetown,BB,2021-10-08 01:25:57,13.1,-59.6167,82.89,83,20,24.16
118,Aragarcas,BR,2021-10-08 01:30:35,-15.8975,-52.2508,79.27,63,100,6.58
119,San Jose,US,2021-10-08 01:30:08,37.3394,-121.895,65.26,58,75,5.01
120,Dingle,PH,2021-10-08 01:30:28,10.9995,122.6711,77.38,89,100,3.4
121,Roald,NO,2021-10-08 01:30:36,62.5833,6.1333,57.99,94,40,11.5
122,Jiuquan,CN,2021-10-08 01:30:37,39.7432,98.5174,47.12,40,19,8.88
123,Kulhudhuffushi,MV,2021-10-08 01:30:37,6.6221,73.07,82.33,79,49,16.17
124,Barranca,PE,2021-10-08 01:30:38,-10.75,-77.7667,62.06,89,100,11.3
125,Butaritari,KI,2021-10-08 01:30:38,3.0707,172.7902,82.83,66,15,13.62
126,Talnakh,RU,2021-10-08 01:30:39,69.4865,88.3972,33.06,100,100,4.63
127,Kruisfontein,ZA,2021-10-08 01:30:39,-34.0033,24.7314,65.88,56,100,11.45
128,Tokuyama,JP,2021-10-08 01:30:39,34.05,131.8167,78.96,65,1,6.85
129,Grand Baie,MU,2021-10-08 01:30:40,-20.0182,57.5802,68.47,85,95,3.0
130,Chokurdakh,RU,2021-10-08 01:30:40,70.6333,147.9167,17.58,84,100,7.18
131,Komsomolskiy,UZ,2021-10-08 01:30:41,40.4272,71.7189,51.22,81,40,6.91
132,Nalut,LY,2021-10-08 01:30:42,30.3333,10.85,68.11,64,0,11.72
133,Westport,US,2021-10-08 01:30:42,41.1415,-73.3579,67.98,93,1,3.0
134,Knarvik,NO,2021-10-08 01:30:43,60.5422,5.2883,58.28,92,100,13.0
135,Kazanka,UA,2021-10-08 01:30:43,47.8462,32.8218,37.71,43,4,11.23
136,Umtata,ZA,2021-10-08 01:30:44,-31.5889,28.7844,62.06,68,100,1.34
137,Saint George,US,2021-10-08 01:30:44,37.1041,-113.5841,78.64,38,1,1.99
138,Bonavista,CA,2021-10-08 01:30:45,48.6499,-53.1147,50.11,62,100,5.06
139,Haines Junction,CA,2021-10-08 01:30:45,60.7522,-137.5108,40.95,75,100,2.3
140,Vao,NC,2021-10-08 01:30:46,-22.6667,167.4833,69.62,64,77,13.18
141,Iquique,CL,2021-10-08 01:30:41,-20.2208,-70.1431,61.52,75,43,2.68
142,Yerbogachen,RU,2021-10-08 01:30:47,61.2767,108.0108,33.75,96,100,9.4
143,Sechura,PE,2021-10-08 01:30:47,-5.5569,-80.8222,65.57,80,61,16.62
144,Hamilton,US,2021-10-08 01:30:23,39.1834,-84.5333,71.89,90,90,3.44
145,Saint-Pierre,RE,2021-10-08 01:30:48,-21.3393,55.4781,67.68,70,37,9.22
146,Chinhoyi,ZW,2021-10-08 01:30:48,-17.3667,30.2,63.16,70,17,6.8
147,Katsuura,JP,2021-10-08 01:30:49,35.1333,140.3,75.31,76,50,11.95
148,Mananjary,MG,2021-10-08 01:30:50,-21.2167,48.3333,66.07,83,100,7.78
149,Byron Bay,AU,2021-10-08 01:30:50,-28.65,153.6167,78.91,64,58,11.72
150,Mitu,CO,2021-10-08 01:29:12,1.1983,-70.1733,73.44,96,100,0.47
151,Iqaluit,CA,2021-10-08 01:30:51,63.7506,-68.5145,35.33,93,90,10.0
152,Alindao,CF,2021-10-08 01:30:51,5.0267,21.2088,70.32,95,43,2.51
153,Touros,BR,2021-10-08 01:30:52,-5.1989,-35.4608,79.7,84,91,11.61
154,Samarai,PG,2021-10-08 01:30:21,-10.6167,150.6667,82.63,77,97,11.68
155,Tome,CL,2021-10-08 01:30:53,-36.6167,-72.95,49.37,91,1,2.82
156,Meulaboh,ID,2021-10-08 01:30:53,4.1363,96.1285,79.18,77,99,2.66
157,Caninde,BR,2021-10-08 01:30:54,-4.3589,-39.3117,77.72,75,96,2.73
158,San Patricio,US,2021-10-08 01:30:54,28.017,-97.5169,80.46,55,0,7.52
159,Faanui,PF,2021-10-08 01:30:55,-16.4833,-151.75,79.05,72,6,7.2
160,Lagoa,PT,2021-10-08 01:30:55,39.05,-27.9833,68.49,72,2,6.4
161,Klaksvik,FO,2021-10-08 01:30:56,62.2266,-6.589,52.72,85,100,21.0
162,Saskylakh,RU,2021-10-08 01:30:56,71.9167,114.0833,1.94,96,80,5.28
163,Pevek,RU,2021-10-08 01:30:57,69.7008,170.3133,24.31,81,89,5.57
164,Lorengau,PG,2021-10-08 01:30:57,-2.0226,147.2712,85.68,65,59,11.14
165,Jaciara,BR,2021-10-08 01:27:18,-15.9653,-54.9683,74.66,83,30,2.75
166,Mehamn,NO,2021-10-08 01:30:58,71.0357,27.8492,40.03,68,100,25.61
167,Edd,ER,2021-10-08 01:30:58,13.9297,41.6925,85.64,72,65,1.43
168,Thompson,CA,2021-10-08 01:30:59,55.7435,-97.8558,50.16,76,40,6.91
169,Lubango,AO,2021-10-08 01:30:59,-14.9172,13.4925,64.58,38,44,2.42
170,Georgetown,MY,2021-10-08 01:26:39,5.4112,100.3354,83.89,88,20,2.3
171,Aljezur,PT,2021-10-08 01:31:00,37.3191,-8.8033,68.14,61,9,5.26
172,Pacific Grove,US,2021-10-08 01:29:00,36.6177,-121.9166,64.94,76,75,5.01
173,Verkhnevilyuysk,RU,2021-10-08 01:31:00,63.4453,120.3167,30.24,69,99,6.38
174,Maneadero,MX,2021-10-08 01:31:01,31.7167,-116.5667,67.1,83,100,1.99
175,Pecos,US,2021-10-08 01:31:01,31.4229,-103.4932,86.05,23,1,6.91
176,Severo-Kurilsk,RU,2021-10-08 01:31:02,50.6789,156.125,48.4,75,100,18.75
177,Mlonggo,ID,2021-10-08 01:31:02,-6.5333,110.7,84.09,52,2,2.95
178,Avanigadda,IN,2021-10-08 01:31:03,16.0215,80.9181,80.74,85,8,2.46
179,Les Cayes,HT,2021-10-08 01:31:03,18.2,-73.75,79.18,83,0,1.63
180,Abay,KZ,2021-10-08 01:31:04,49.6311,72.8539,34.18,82,24,3.29
181,Mezen,RU,2021-10-08 01:31:04,65.8522,44.24,47.86,87,100,12.41
182,Sitka,US,2021-10-08 01:31:05,57.0531,-135.33,48.09,81,90,6.91
183,Eyl,SO,2021-10-08 01:31:05,7.9803,49.8164,77.45,79,98,13.69
184,Aklavik,CA,2021-10-08 01:31:05,68.2191,-135.0107,32.83,88,100,5.53
185,Kitakata,JP,2021-10-08 01:31:06,37.65,139.8667,76.32,70,100,5.21
186,Madang,PG,2021-10-08 01:31:06,-5.2246,145.7966,86.02,63,14,6.73
187,Kilindoni,TZ,2021-10-08 01:31:07,-7.9139,39.6668,78.49,75,51,15.82
188,Lebu,CL,2021-10-08 01:31:03,-37.6167,-73.65,47.62,87,0,8.88
189,Alta Floresta,BR,2021-10-08 01:31:08,-9.8756,-56.0861,72.43,95,75,4.21
190,Lokot,RU,2021-10-08 01:31:08,52.565,34.5776,35.02,80,3,5.68
191,Oyama,JP,2021-10-08 01:31:09,36.3,139.8,81.54,54,1,0.65
192,Saint-Augustin,CA,2021-10-08 01:31:09,51.226,-58.6502,41.31,62,17,10.49
193,Bilma,NE,2021-10-08 01:31:10,18.6853,12.9164,78.87,20,1,7.25
194,Ahipara,NZ,2021-10-08 01:31:10,-35.1667,173.1667,62.58,71,0,10.02
195,Florianopolis,BR,2021-10-08 01:30:09,-27.6146,-48.5012,64.35,79,75,1.01
196,Arraial Do Cabo,BR,2021-10-08 01:31:11,-22.9661,-42.0278,69.19,76,100,18.86
197,Cherskiy,RU,2021-10-08 01:31:11,68.75,161.3,12.34,92,34,2.37
198,Taoudenni,ML,2021-10-08 01:31:12,22.6783,-3.9836,89.29,10,6,10.18
199,Ewa Beach,US,2021-10-08 01:27:32,21.3156,-158.0072,84.15,50,40,24.0
200,Fallon,US,2021-10-08 01:31:13,39.4735,-118.7774,69.67,38,75,5.75
201,North Myrtle Beach,US,2021-10-08 01:31:13,33.816,-78.68,75.99,88,90,10.36
202,Itoman,JP,2021-10-08 01:31:14,26.1247,127.6694,86.02,70,75,16.11
203,Mar Del Plata,AR,2021-10-08 01:28:39,-38.0023,-57.5575,51.87,68,0,1.99
204,East London,ZA,2021-10-08 01:30:42,-33.0153,27.9116,66.6,93,100,12.06
205,Sao Joao Da Barra,BR,2021-10-08 01:31:15,-21.6403,-41.0511,71.06,88,100,18.48
206,Coquimbo,CL,2021-10-08 01:31:15,-29.9533,-71.3436,54.46,80,100,6.8
207,Jamestown,US,2021-10-08 01:31:16,42.097,-79.2353,67.64,87,20,1.99
208,Binzhou,CN,2021-10-08 01:31:16,37.3667,118.0167,63.27,61,44,7.72
209,Kodiak,US,2021-10-08 01:26:22,57.79,-152.4072,49.51,76,1,9.22
210,Campo Formoso,BR,2021-10-08 01:31:17,-10.5075,-40.3214,71.17,60,11,6.64
211,Andenes,NO,2021-10-08 01:31:18,69.3143,16.1194,35.58,75,90,2.3
212,Caravelas,BR,2021-10-08 01:31:18,-17.7125,-39.2481,74.82,83,100,7.38
213,Khatanga,RU,2021-10-08 01:31:19,71.9667,102.5,20.01,96,100,7.38
214,Nhulunbuy,AU,2021-10-08 01:31:19,-12.2333,136.7667,88.41,55,20,13.8
215,Coahuayana,MX,2021-10-08 01:31:19,18.7333,-103.6833,87.28,84,50,0.81
216,Cidreira,BR,2021-10-08 01:31:20,-30.1811,-50.2056,59.56,66,3,6.96
217,Tuy Hoa,VN,2021-10-08 01:31:20,13.0833,109.3,82.54,74,100,13.76
218,Souillac,MU,2021-10-08 01:31:21,-20.5167,57.5167,68.38,88,75,3.44
219,Lata,PT,2021-10-08 01:30:30,40.1629,-8.3327,61.81,57,13,3.11
220,Raudeberg,NO,2021-10-08 01:31:21,61.9875,5.1352,55.96,80,100,7.0
221,Esperance,AU,2021-10-08 01:31:22,-33.8667,121.9,60.64,57,91,16.69
222,Izberbash,RU,2021-10-08 01:31:22,42.5696,47.8645,50.05,71,100,7.09
223,Ozernovskiy,RU,2021-10-08 01:31:23,51.5,156.5167,42.04,95,100,4.9
224,Avarua,CK,2021-10-08 01:29:33,-21.2078,-159.775,78.85,65,20,9.22
225,Antofagasta,CL,2021-10-08 01:31:24,-23.65,-70.4,58.84,80,65,5.08
226,Natagaima,CO,2021-10-08 01:31:24,3.6206,-75.0941,79.34,66,67,3.22
227,Blackfoot,US,2021-10-08 01:29:38,43.1905,-112.345,56.21,53,99,3.49
228,Nantucket,US,2021-10-08 01:31:25,41.2835,-70.0995,63.97,82,1,5.75
